Id,Name,InternalName,Value,SellPrice
1547,ShroomiteMask,ShroomiteMask,375000,75000
1548,ShroomiteHelmet,ShroomiteHelmet,375000,75000
1549,ShroomiteBreastplate,ShroomiteBreastplate,300000,60000
1550,ShroomiteLeggings,ShroomiteLeggings,225000,45000
1551,Autohammer,Autohammer,1000000,200000
1552,ShroomiteBar,ShroomiteBar,50000,10000
1553,SDMG,SDMG,750000,150000
1554,CenxsTiara,CenxsTiara,250000,50000
1555,CenxsBreastplate,CenxsBreastplate,250000,50000
1556,CenxsLeggings,CenxsLeggings,250000,50000
1557,CrownosMask,CrownosMask,250000,50000
1558,CrownosBreastplate,CrownosBreastplate,250000,50000
1559,CrownosLeggings,CrownosLeggings,250000,50000
1560,WillsHelmet,WillsHelmet,250000,50000
1561,WillsBreastplate,WillsBreastplate,250000,50000
1562,WillsLeggings,WillsLeggings,250000,50000
1563,JimsHelmet,JimsHelmet,250000,50000
1564,JimsBreastplate,JimsBreastplate,250000,50000
1565,JimsLeggings,JimsLeggings,250000,50000
1566,AaronsHelmet,AaronsHelmet,250000,50000
1567,AaronsBreastplate,AaronsBreastplate,250000,50000
1568,AaronsLeggings,AaronsLeggings,250000,50000
1569,VampireKnives,VampireKnives,1000000,200000
1570,BrokenHeroSword,BrokenHeroSword,375000,75000
1571,ScourgeoftheCorruptor,ScourgeoftheCorruptor,1000000,200000
1572,StaffoftheFrostHydra,StaffoftheFrostHydra,1000000,200000
1573,TheCreationoftheGuide,TheCreationoftheGuide,5000,1000
1574,TheMerchant,TheMerchant,5000,1000
1575,CrownoDevoursHisLunch,CrownoDevoursHisLunch,5000,1000
1576,RareEnchantment,RareEnchantment,5000,1000
1577,GloriousNight,GloriousNight,5000,1000
1578,SweetheartNecklace,SweetheartNecklace,100000,20000
1579,FlurryBoots,FlurryBoots,50000,10000
1580,DTownsHelmet,DTownsHelmet,250000,50000
1581,DTownsBreastplate,DTownsBreastplate,250000,50000
1582,DTownsLeggings,DTownsLeggings,250000,50000
1583,DTownsWings,DTownsWings,400000,80000
1584,WillsWings,WillsWings,400000,80000
1585,CrownosWings,CrownosWings,400000,80000
1586,CenxsWings,CenxsWings,400000,80000
1587,CenxsDress,CenxsDress,250000,50000
1588,CenxsDressPants,CenxsDressPants,250000,50000
1589,PalladiumColumn,PalladiumColumn,0,0
1590,PalladiumColumnWall,PalladiumColumnWall,0,0
1591,BubblegumBlock,BubblegumBlock,0,0
1592,BubblegumBlockWall,BubblegumBlockWall,0,0
1593,TitanstoneBlock,TitanstoneBlock,0,0
1594,TitanstoneBlockWall,TitanstoneBlockWall,0,0
1595,MagicCuffs,MagicCuffs,100000,20000
1596,MusicBoxSnow,MusicBoxSnow,100000,20000
1597,MusicBoxSpace,MusicBoxSpace,100000,20000
1598,MusicBoxCrimson,MusicBoxCrimson,100000,20000
1599,MusicBoxBoss4,MusicBoxBoss4,100000,20000
1600,MusicBoxAltOverworldDay,MusicBoxAltOverworldDay,100000,20000
1601,MusicBoxRain,MusicBoxRain,100000,20000
1602,MusicBoxIce,MusicBoxIce,100000,20000
1603,MusicBoxDesert,MusicBoxDesert,100000,20000
1604,MusicBoxOcean,MusicBoxOcean,100000,20000
1605,MusicBoxDungeon,MusicBoxDungeon,100000,20000
1606,MusicBoxPlantera,MusicBoxPlantera,100000,20000
1607,MusicBoxBoss5,MusicBoxBoss5,100000,20000
1608,MusicBoxTemple,MusicBoxTemple,100000,20000
1609,MusicBoxEclipse,MusicBoxEclipse,100000,20000
1610,MusicBoxMushrooms,MusicBoxMushrooms,100000,20000
1611,ButterflyDust,ButterflyDust,125000,25000
1612,AnkhCharm,AnkhCharm,150000,30000
1613,AnkhShield,AnkhShield,250000,50000
1614,BlueFlare,BlueFlare,7,1
1615,AnglerFishBanner,AnglerFishBanner,1000,200
1616,AngryNimbusBanner,AngryNimbusBanner,1000,200
1617,AnomuraFungusBanner,AnomuraFungusBanner,1000,200
1618,AntlionBanner,AntlionBanner,1000,200
1619,ArapaimaBanner,ArapaimaBanner,1000,200
1620,ArmoredSkeletonBanner,ArmoredSkeletonBanner,1000,200
1621,BatBanner,BatBanner,1000,200
1622,BirdBanner,BirdBanner,1000,200
1623,BlackRecluseBanner,BlackRecluseBanner,1000,200
1624,BloodFeederBanner,BloodFeederBanner,1000,200
1625,BloodJellyBanner,BloodJellyBanner,1000,200
1626,BloodCrawlerBanner,BloodCrawlerBanner,1000,200
1627,BoneSerpentBanner,BoneSerpentBanner,1000,200
1628,BunnyBanner,BunnyBanner,1000,200
1629,ChaosElementalBanner,ChaosElementalBanner,1000,200
1630,MimicBanner,MimicBanner,1000,200
1631,ClownBanner,ClownBanner,1000,200
1632,CorruptBunnyBanner,CorruptBunnyBanner,1000,200
1633,CorruptGoldfishBanner,CorruptGoldfishBanner,1000,200
1634,CrabBanner,CrabBanner,1000,200
1635,CrimeraBanner,CrimeraBanner,1000,200
1636,CrimsonAxeBanner,CrimsonAxeBanner,1000,200
1637,CursedHammerBanner,CursedHammerBanner,1000,200
1638,DemonBanner,DemonBanner,1000,200
1639,DemonEyeBanner,DemonEyeBanner,1000,200
1640,DerplingBanner,DerplingBanner,1000,200
1641,EaterofSoulsBanner,EaterofSoulsBanner,1000,200
1642,EnchantedSwordBanner,EnchantedSwordBanner,1000,200
1643,ZombieEskimoBanner,ZombieEskimoBanner,1000,200
1644,FaceMonsterBanner,FaceMonsterBanner,1000,200
1645,FloatyGrossBanner,FloatyGrossBanner,1000,200
1646,FlyingFishBanner,FlyingFishBanner,1000,200
1647,FlyingSnakeBanner,FlyingSnakeBanner,1000,200
1648,FrankensteinBanner,FrankensteinBanner,1000,200
1649,FungiBulbBanner,FungiBulbBanner,1000,200
1650,FungoFishBanner,FungoFishBanner,1000,200
1651,GastropodBanner,GastropodBanner,1000,200
1652,GoblinThiefBanner,GoblinThiefBanner,1000,200
1653,GoblinSorcererBanner,GoblinSorcererBanner,1000,200
1654,GoblinPeonBanner,GoblinPeonBanner,1000,200
1655,GoblinScoutBanner,GoblinScoutBanner,1000,200
1656,GoblinWarriorBanner,GoblinWarriorBanner,1000,200
1657,GoldfishBanner,GoldfishBanner,1000,200
1658,HarpyBanner,HarpyBanner,1000,200
1659,HellbatBanner,HellbatBanner,1000,200
1660,HerplingBanner,HerplingBanner,1000,200
1661,HornetBanner,HornetBanner,1000,200
1662,IceElementalBanner,IceElementalBanner,1000,200
1663,IcyMermanBanner,IcyMermanBanner,1000,200
1664,FireImpBanner,FireImpBanner,1000,200
1665,JellyfishBanner,JellyfishBanner,1000,200
1666,JungleCreeperBanner,JungleCreeperBanner,1000,200
1667,LihzahrdBanner,LihzahrdBanner,1000,200
1668,ManEaterBanner,ManEaterBanner,1000,200
1669,MeteorHeadBanner,MeteorHeadBanner,1000,200
1670,MothBanner,MothBanner,1000,200
1671,MummyBanner,MummyBanner,1000,200
1672,MushiLadybugBanner,MushiLadybugBanner,1000,200
1673,ParrotBanner,ParrotBanner,1000,200
1674,PigronBanner,PigronBanner,1000,200
1675,PiranhaBanner,PiranhaBanner,1000,200
1676,PirateBanner,PirateBanner,1000,200
1677,PixieBanner,PixieBanner,1000,200
1678,RaincoatZombieBanner,RaincoatZombieBanner,1000,200
1679,ReaperBanner,ReaperBanner,1000,200
1680,SharkBanner,SharkBanner,1000,200
1681,SkeletonBanner,SkeletonBanner,1000,200
1682,SkeletonMageBanner,SkeletonMageBanner,1000,200
1683,SlimeBanner,SlimeBanner,1000,200
1684,SnowFlinxBanner,SnowFlinxBanner,1000,200
1685,SpiderBanner,SpiderBanner,1000,200
1686,SporeZombieBanner,SporeZombieBanner,1000,200
1687,SwampThingBanner,SwampThingBanner,1000,200
1688,TortoiseBanner,TortoiseBanner,1000,200
1689,ToxicSludgeBanner,ToxicSludgeBanner,1000,200
1690,UmbrellaSlimeBanner,UmbrellaSlimeBanner,1000,200
1691,UnicornBanner,UnicornBanner,1000,200
1692,VampireBanner,VampireBanner,1000,200
1693,VultureBanner,VultureBanner,1000,200
1694,NypmhBanner,NypmhBanner,1000,200
1695,WerewolfBanner,WerewolfBanner,1000,200
1696,WolfBanner,WolfBanner,1000,200
1697,WorldFeederBanner,WorldFeederBanner,1000,200
1698,WormBanner,WormBanner,1000,200
1699,WraithBanner,WraithBanner,1000,200
1700,WyvernBanner,WyvernBanner,1000,200
1701,ZombieBanner,ZombieBanner,1000,200
1702,GlassPlatform,GlassPlatform,0,0
1703,GlassChair,GlassChair,150,30
1704,GoldenChair,GoldenChair,100000,20000
1705,GoldenToilet,GoldenToilet,100000,20000
1706,BarStool,BarStool,150,30
1707,HoneyChair,HoneyChair,150,30
1708,SteampunkChair,SteampunkChair,150,30
1709,GlassDoor,GlassDoor,200,40
1710,GoldenDoor,GoldenDoor,100000,20000
1711,HoneyDoor,HoneyDoor,200,40
1712,SteampunkDoor,SteampunkDoor,200,40
1713,GlassTable,GlassTable,300,60
1714,BanquetTable,BanquetTable,300,60
1715,Bar,Bar,300,60
1716,GoldenTable,GoldenTable,100000,20000
1717,HoneyTable,HoneyTable,300,60
1718,SteampunkTable,SteampunkTable,300,60
1719,GlassBed,GlassBed,2000,400
1720,GoldenBed,GoldenBed,100000,20000
1721,HoneyBed,HoneyBed,2000,400
1722,SteampunkBed,SteampunkBed,2000,400
1723,LivingWoodWall,LivingWoodWall,0,0
1724,FartinaJar,FartinaJar,50000,10000
1725,Pumpkin,Pumpkin,125,25
1726,PumpkinWall,PumpkinWall,0,0
1727,Hay,Hay,0,0
1728,HayWall,HayWall,0,0
1729,SpookyWood,SpookyWood,0,0
1730,SpookyWoodWall,SpookyWoodWall,0,0
1731,PumpkinHelmet,PumpkinHelmet,0,0
1732,PumpkinBreastplate,PumpkinBreastplate,0,0
1733,PumpkinLeggings,PumpkinLeggings,0,0
1734,CandyApple,CandyApple,0,0
1735,SoulCake,SoulCake,0,0
1736,NurseHat,NurseHat,30000,6000
1737,NurseShirt,NurseShirt,30000,6000
1738,NursePants,NursePants,30000,6000
1739,WizardsHat,WizardsHat,30000,6000
1740,GuyFawkesMask,GuyFawkesMask,30000,6000
1741,DyeTraderRobe,DyeTraderRobe,30000,6000
1742,SteampunkGoggles,SteampunkGoggles,30000,6000
1743,CyborgHelmet,CyborgHelmet,30000,6000
1744,CyborgShirt,CyborgShirt,30000,6000
1745,CyborgPants,CyborgPants,30000,6000
1746,CreeperMask,CreeperMask,30000,6000
1747,CreeperShirt,CreeperShirt,30000,6000
1748,CreeperPants,CreeperPants,30000,6000
1749,CatMask,CatMask,30000,6000
1750,CatShirt,CatShirt,30000,6000
1751,CatPants,CatPants,30000,6000
1752,GhostMask,GhostMask,30000,6000
1753,GhostShirt,GhostShirt,30000,6000
1754,PumpkinMask,PumpkinMask,30000,6000
1755,PumpkinShirt,PumpkinShirt,30000,6000
1756,PumpkinPants,PumpkinPants,30000,6000
1757,RobotMask,RobotMask,30000,6000
1758,RobotShirt,RobotShirt,30000,6000
1759,RobotPants,RobotPants,30000,6000
1760,UnicornMask,UnicornMask,30000,6000
1761,UnicornShirt,UnicornShirt,30000,6000
1762,UnicornPants,UnicornPants,30000,6000
1763,VampireMask,VampireMask,30000,6000
1764,VampireShirt,VampireShirt,30000,6000
1765,VampirePants,VampirePants,30000,6000
1766,WitchHat,WitchHat,30000,6000
1767,LeprechaunHat,LeprechaunHat,30000,6000
1768,LeprechaunShirt,LeprechaunShirt,30000,6000
1769,LeprechaunPants,LeprechaunPants,30000,6000
1770,PixieShirt,PixieShirt,30000,6000
1771,PixiePants,PixiePants,30000,6000
1772,PrincessHat,PrincessHat,30000,6000
1773,PrincessDressNew,PrincessDressNew,30000,6000
1774,GoodieBag,GoodieBag,50000,10000
1775,WitchDress,WitchDress,30000,6000
1776,WitchBoots,WitchBoots,30000,6000
1777,BrideofFrankensteinMask,BrideofFrankensteinMask,30000,6000
1778,BrideofFrankensteinDress,BrideofFrankensteinDress,30000,6000
1779,KarateTortoiseMask,KarateTortoiseMask,30000,6000
1780,KarateTortoiseShirt,KarateTortoiseShirt,30000,6000
1781,KarateTortoisePants,KarateTortoisePants,30000,6000
1782,CandyCornRifle,CandyCornRifle,500000,100000
1783,CandyCorn,CandyCorn,5,1
1784,JackOLanternLauncher,JackOLanternLauncher,500000,100000
1785,ExplosiveJackOLantern,ExplosiveJackOLantern,15,3
1786,Sickle,Sickle,6000,1200
1787,PumpkinPie,PumpkinPie,1000,200
1788,ScarecrowHat,ScarecrowHat,30000,6000
1789,ScarecrowShirt,ScarecrowShirt,30000,6000
1790,ScarecrowPants,ScarecrowPants,30000,6000
1791,Cauldron,Cauldron,15000,3000
1792,PumpkinChair,PumpkinChair,150,30
1793,PumpkinDoor,PumpkinDoor,200,40
1794,PumpkinTable,PumpkinTable,300,60
1795,PumpkinWorkBench,PumpkinWorkBench,150,30
1796,PumpkinPlatform,PumpkinPlatform,0,0
1797,TatteredFairyWings,TatteredFairyWings,400000,80000
1798,SpiderEgg,SpiderEgg,100000,20000
1799,MagicalPumpkinSeed,MagicalPumpkinSeed,100000,20000
1800,BatHook,BatHook,75000,15000
1801,BatScepter,BatScepter,500000,100000
1802,RavenStaff,RavenStaff,500000,100000
1803,JungleKeyMold,JungleKeyMold,0,0
1804,CorruptionKeyMold,CorruptionKeyMold,0,0
1805,CrimsonKeyMold,CrimsonKeyMold,0,0
1806,HallowedKeyMold,HallowedKeyMold,0,0
1807,FrozenKeyMold,FrozenKeyMold,0,0
1808,HangingJackOLantern,HangingJackOLantern,0,0
1809,RottenEgg,RottenEgg,0,0
1810,UnluckyYarn,UnluckyYarn,100000,20000
1811,BlackFairyDust,BlackFairyDust,125000,25000
1812,Jackelier,Jackelier,0,0
1813,JackOLantern,JackOLantern,0,0
1814,SpookyChair,SpookyChair,150,30
1815,SpookyDoor,SpookyDoor,200,40
1816,SpookyTable,SpookyTable,300,60
1817,SpookyWorkBench,SpookyWorkBench,150,30
1818,SpookyPlatform,SpookyPlatform,0,0
1819,ReaperHood,ReaperHood,30000,6000
1820,ReaperRobe,ReaperRobe,30000,6000
1821,FoxMask,FoxMask,30000,6000
1822,FoxShirt,FoxShirt,30000,6000
1823,FoxPants,FoxPants,30000,6000
1824,CatEars,CatEars,30000,6000
1825,BloodyMachete,BloodyMachete,50000,10000
1826,TheHorsemansBlade,TheHorsemansBlade,500000,100000
1827,BladedGlove,BladedGlove,50000,10000
1828,PumpkinSeed,PumpkinSeed,250,50
1829,SpookyHook,SpookyHook,200000,40000
1830,SpookyWings,SpookyWings,400000,80000
1831,SpookyTwig,SpookyTwig,125000,25000
1832,SpookyHelmet,SpookyHelmet,50000,10000
1833,SpookyBreastplate,SpookyBreastplate,50000,10000
1834,SpookyLeggings,SpookyLeggings,50000,10000
1835,StakeLauncher,StakeLauncher,500000,100000
1836,Stake,Stake,15,3
1837,CursedSapling,CursedSapling,100000,20000
1838,SpaceCreatureMask,SpaceCreatureMask,30000,6000
1839,SpaceCreatureShirt,SpaceCreatureShirt,30000,6000
1840,SpaceCreaturePants,SpaceCreaturePants,30000,6000
1841,WolfMask,WolfMask,30000,6000
1842,WolfShirt,WolfShirt,30000,6000
1843,WolfPants,WolfPants,30000,6000
1844,PumpkinMoonMedallion,PumpkinMoonMedallion,0,0
1845,NecromanticScroll,NecromanticScroll,200000,40000
1846,JackingSkeletron,JackingSkeletron,5000,1000
1847,BitterHarvest,BitterHarvest,5000,1000
1848,BloodMoonCountess,BloodMoonCountess,5000,1000
1849,HallowsEve,HallowsEve,5000,1000
1850,MorbidCuriosity,MorbidCuriosity,5000,1000
1851,TreasureHunterShirt,TreasureHunterShirt,30000,6000
1852,TreasureHunterPants,TreasureHunterPants,30000,6000
1853,DryadCoverings,DryadCoverings,30000,6000
1854,DryadLoincloth,DryadLoincloth,30000,6000
1855,MourningWoodTrophy,MourningWoodTrophy,50000,10000
1856,PumpkingTrophy,PumpkingTrophy,50000,10000
1857,JackOLanternMask,JackOLanternMask,250000,50000
1858,SniperScope,SniperScope,300000,60000
1859,HeartLantern,HeartLantern,75000,15000
1860,JellyfishDivingGear,JellyfishDivingGear,150000,30000
1861,ArcticDivingGear,ArcticDivingGear,250000,50000
1862,FrostsparkBoots,FrostsparkBoots,350000,70000
1863,FartInABalloon,FartInABalloon,150000,30000
1864,PapyrusScarab,PapyrusScarab,250000,50000
1865,CelestialStone,CelestialStone,400000,80000
1866,Hoverboard,Hoverboard,400000,80000
1867,CandyCane,CandyCane,0,0
1868,SugarPlum,SugarPlum,0,0
1869,Present,Present,0,0
1870,RedRyder,RedRyder,100000,20000
1871,FestiveWings,FestiveWings,400000,80000
1872,PineTreeBlock,PineTreeBlock,0,0
1873,ChristmasTree,ChristmasTree,2500,500
1874,StarTopper1,StarTopper1,500,100
1875,StarTopper2,StarTopper2,500,100
1876,StarTopper3,StarTopper3,500,100
1877,BowTopper,BowTopper,500,100
1878,WhiteGarland,WhiteGarland,500,100
1879,WhiteAndRedGarland,WhiteAndRedGarland,500,100
1880,RedGardland,RedGardland,500,100
1881,RedAndGreenGardland,RedAndGreenGardland,500,100
1882,GreenGardland,GreenGardland,500,100
1883,GreenAndWhiteGarland,GreenAndWhiteGarland,500,100
1884,MulticoloredBulb,MulticoloredBulb,500,100
1885,RedBulb,RedBulb,500,100
1886,YellowBulb,YellowBulb,500,100
1887,GreenBulb,GreenBulb,500,100
1888,RedAndGreenBulb,RedAndGreenBulb,500,100
1889,YellowAndGreenBulb,YellowAndGreenBulb,500,100
1890,RedAndYellowBulb,RedAndYellowBulb,500,100
1891,WhiteBulb,WhiteBulb,500,100
1892,WhiteAndRedBulb,WhiteAndRedBulb,500,100
1893,WhiteAndYellowBulb,WhiteAndYellowBulb,500,100
1894,WhiteAndGreenBulb,WhiteAndGreenBulb,500,100
1895,MulticoloredLights,MulticoloredLights,500,100
1896,RedLights,RedLights,500,100
1897,GreenLights,GreenLights,500,100
1898,BlueLights,BlueLights,500,100
1899,YellowLights,YellowLights,500,100
1900,RedAndYellowLights,RedAndYellowLights,500,100
1901,RedAndGreenLights,RedAndGreenLights,500,100
1902,YellowAndGreenLights,YellowAndGreenLights,500,100
1903,BlueAndGreenLights,BlueAndGreenLights,500,100
1904,RedAndBlueLights,RedAndBlueLights,500,100
1905,BlueAndYellowLights,BlueAndYellowLights,500,100
1906,GiantBow,GiantBow,10000,2000
1907,ReindeerAntlers,ReindeerAntlers,10000,2000
1908,Holly,Holly,5000,1000
1909,CandyCaneSword,CandyCaneSword,13500,2700
1910,ElfMelter,ElfMelter,500000,100000
1911,ChristmasPudding,ChristmasPudding,1000,200
1912,Eggnog,Eggnog,40,8
1913,StarAnise,StarAnise,25,5
1914,ReindeerBells,ReindeerBells,250000,50000
1915,CandyCaneHook,CandyCaneHook,100000,20000
1916,ChristmasHook,ChristmasHook,200000,40000
1917,CnadyCanePickaxe,CnadyCanePickaxe,10000,2000
1918,FruitcakeChakram,FruitcakeChakram,50000,10000
1919,SugarCookie,SugarCookie,2500,500
1920,GingerbreadCookie,GingerbreadCookie,2500,500
1921,HandWarmer,HandWarmer,50000,10000
1922,Coal,Coal,0,0
1923,Toolbox,Toolbox,50000,10000
1924,PineDoor,PineDoor,200,40
1925,PineChair,PineChair,150,30
1926,PineTable,PineTable,300,60
1927,DogWhistle,DogWhistle,0,0
1928,ChristmasTreeSword,ChristmasTreeSword,500000,100000
1929,ChainGun,ChainGun,450000,90000
1930,Razorpine,Razorpine,450000,90000
1931,BlizzardStaff,BlizzardStaff,450000,90000
1932,MrsClauseHat,MrsClauseHat,30000,6000
1933,MrsClauseShirt,MrsClauseShirt,30000,6000
1934,MrsClauseHeels,MrsClauseHeels,30000,6000
1935,ParkaHood,ParkaHood,30000,6000
1936,ParkaCoat,ParkaCoat,30000,6000
1937,ParkaPants,ParkaPants,30000,6000
1938,SnowHat,SnowHat,30000,6000
1939,UglySweater,UglySweater,30000,6000
1940,TreeMask,TreeMask,30000,6000
1941,TreeShirt,TreeShirt,30000,6000
1942,TreeTrunks,TreeTrunks,30000,6000
1943,ElfHat,ElfHat,30000,6000
1944,ElfShirt,ElfShirt,30000,6000
1945,ElfPants,ElfPants,30000,6000
1946,SnowmanCannon,SnowmanCannon,450000,90000
1947,NorthPole,NorthPole,450000,90000
1948,ChristmasTreeWallpaper,ChristmasTreeWallpaper,75,15
1949,OrnamentWallpaper,OrnamentWallpaper,75,15
1950,CandyCaneWallpaper,CandyCaneWallpaper,75,15
1951,FestiveWallpaper,FestiveWallpaper,75,15
1952,StarsWallpaper,StarsWallpaper,75,15
1953,SquigglesWallpaper,SquigglesWallpaper,75,15
1954,SnowflakeWallpaper,SnowflakeWallpaper,75,15
1955,KrampusHornWallpaper,KrampusHornWallpaper,75,15
1956,BluegreenWallpaper,BluegreenWallpaper,75,15
1957,GrinchFingerWallpaper,GrinchFingerWallpaper,75,15
1958,NaughtyPresent,NaughtyPresent,0,0
1959,BabyGrinchMischiefWhistle,BabyGrinchMischiefWhistle,100000,20000
1960,IceQueenTrophy,IceQueenTrophy,50000,10000
1961,SantaNK1Trophy,SantaNK1Trophy,50000,10000
1962,EverscreamTrophy,EverscreamTrophy,50000,10000
1963,MusicBoxPumpkinMoon,MusicBoxPumpkinMoon,100000,20000
1964,MusicBoxAltUnderground,MusicBoxAltUnderground,100000,20000
1965,MusicBoxFrostMoon,MusicBoxFrostMoon,100000,20000
1966,BrownPaint,BrownPaint,25,5
1967,ShadowPaint,ShadowPaint,50,10
1968,NegativePaint,NegativePaint,75,15
1969,TeamDye,TeamDye,10000,2000
1970,AmethystGemsparkBlock,AmethystGemsparkBlock,0,0
1971,TopazGemsparkBlock,TopazGemsparkBlock,0,0
1972,SapphireGemsparkBlock,SapphireGemsparkBlock,0,0
1973,EmeraldGemsparkBlock,EmeraldGemsparkBlock,0,0
1974,RubyGemsparkBlock,RubyGemsparkBlock,0,0
1975,DiamondGemsparkBlock,DiamondGemsparkBlock,0,0
1976,AmberGemsparkBlock,AmberGemsparkBlock,0,0
1977,LifeHairDye,LifeHairDye,50000,10000
1978,ManaHairDye,ManaHairDye,50000,10000
1979,DepthHairDye,DepthHairDye,50000,10000
1980,MoneyHairDye,MoneyHairDye,100000,20000
1981,TimeHairDye,TimeHairDye,50000,10000
1982,TeamHairDye,TeamHairDye,50000,10000
1983,BiomeHairDye,BiomeHairDye,50000,10000
1984,PartyHairDye,PartyHairDye,75000,15000
1985,RainbowHairDye,RainbowHairDye,150000,30000
1986,SpeedHairDye,SpeedHairDye,50000,10000
1987,AngelHalo,AngelHalo,400000,80000
1988,Fez,Fez,35000,7000
1989,Womannquin,Womannquin,0,0
1990,HairDyeRemover,HairDyeRemover,20000,4000
1991,BugNet,BugNet,2500,500
1992,Firefly,Firefly,1500,300
1993,FireflyinaBottle,FireflyinaBottle,0,0
1994,MonarchButterfly,MonarchButterfly,2500,500
1995,PurpleEmperorButterfly,PurpleEmperorButterfly,37500,7500
1996,RedAdmiralButterfly,RedAdmiralButterfly,20000,4000
1997,UlyssesButterfly,UlyssesButterfly,10000,2000
1998,SulphurButterfly,SulphurButterfly,5000,1000
1999,TreeNymphButterfly,TreeNymphButterfly,50000,10000
2000,ZebraSwallowtailButterfly,ZebraSwallowtailButterfly,7500,1500
2001,JuliaButterfly,JuliaButterfly,15000,3000
2002,Worm,Worm,2500,500
2003,Mouse,Mouse,5000,1000
2004,LightningBug,LightningBug,2500,500
2005,LightningBuginaBottle,LightningBuginaBottle,0,0
2006,Snail,Snail,5000,1000
2007,GlowingSnail,GlowingSnail,25000,5000
2008,FancyGreyWallpaper,FancyGreyWallpaper,75,15
2009,IceFloeWallpaper,IceFloeWallpaper,75,15
2010,MusicWallpaper,MusicWallpaper,75,15
2011,PurpleRainWallpaper,PurpleRainWallpaper,75,15
2012,RainbowWallpaper,RainbowWallpaper,75,15
2013,SparkleStoneWallpaper,SparkleStoneWallpaper,75,15
2014,StarlitHeavenWallpaper,StarlitHeavenWallpaper,75,15
2015,Bird,Bird,2500,500
2016,BlueJay,BlueJay,3750,750
2017,Cardinal,Cardinal,3750,750
2018,Squirrel,Squirrel,2500,500
2019,Bunny,Bunny,2500,500
2020,CactusBookcase,CactusBookcase,300,60
2021,EbonwoodBookcase,EbonwoodBookcase,300,60
2022,FleshBookcase,FleshBookcase,300,60
2023,HoneyBookcase,HoneyBookcase,300,60
2024,SteampunkBookcase,SteampunkBookcase,300,60
2025,GlassBookcase,GlassBookcase,300,60
2026,RichMahoganyBookcase,RichMahoganyBookcase,300,60
2027,PearlwoodBookcase,PearlwoodBookcase,300,60
2028,SpookyBookcase,SpookyBookcase,300,60
2029,SkywareBookcase,SkywareBookcase,300,60
2030,LihzahrdBookcase,LihzahrdBookcase,300,60
2031,FrozenBookcase,FrozenBookcase,300,60
2032,CactusLantern,CactusLantern,150,30
2033,EbonwoodLantern,EbonwoodLantern,150,30
2034,FleshLantern,FleshLantern,150,30
2035,HoneyLantern,HoneyLantern,150,30
2036,SteampunkLantern,SteampunkLantern,150,30
2037,GlassLantern,GlassLantern,150,30
2038,RichMahoganyLantern,RichMahoganyLantern,150,30
2039,PearlwoodLantern,PearlwoodLantern,150,30
2040,FrozenLantern,FrozenLantern,150,30
2041,LihzahrdLantern,LihzahrdLantern,150,30
2042,SkywareLantern,SkywareLantern,150,30
2043,SpookyLantern,SpookyLantern,150,30
2044,FrozenDoor,FrozenDoor,200,40
2045,CactusCandle,CactusCandle,300,60
2046,EbonwoodCandle,EbonwoodCandle,300,60
2047,FleshCandle,FleshCandle,300,60
2048,GlassCandle,GlassCandle,300,60
2049,FrozenCandle,FrozenCandle,300,60
2050,RichMahoganyCandle,RichMahoganyCandle,300,60
2051,PearlwoodCandle,PearlwoodCandle,300,60
2052,LihzahrdCandle,LihzahrdCandle,300,60
2053,SkywareCandle,SkywareCandle,300,60
2054,PumpkinCandle,PumpkinCandle,300,60
2055,CactusChandelier,CactusChandelier,3000,600
2056,EbonwoodChandelier,EbonwoodChandelier,3000,600
2057,FleshChandelier,FleshChandelier,3000,600
2058,HoneyChandelier,HoneyChandelier,3000,600
2059,FrozenChandelier,FrozenChandelier,3000,600
2060,RichMahoganyChandelier,RichMahoganyChandelier,3000,600
2061,PearlwoodChandelier,PearlwoodChandelier,3000,600
2062,LihzahrdChandelier,LihzahrdChandelier,3000,600
2063,SkywareChandelier,SkywareChandelier,3000,600
2064,SpookyChandelier,SpookyChandelier,3000,600
2065,GlassChandelier,GlassChandelier,3000,600
2066,CactusBed,CactusBed,2000,400
2067,FleshBed,FleshBed,2000,400
2068,FrozenBed,FrozenBed,2000,400
2069,LihzahrdBed,LihzahrdBed,2000,400
2070,SkywareBed,SkywareBed,2000,400
2071,SpookyBed,SpookyBed,2000,400
2072,CactusBathtub,CactusBathtub,300,60
2073,EbonwoodBathtub,EbonwoodBathtub,300,60
2074,FleshBathtub,FleshBathtub,300,60
2075,GlassBathtub,GlassBathtub,300,60
2076,FrozenBathtub,FrozenBathtub,300,60
2077,RichMahoganyBathtub,RichMahoganyBathtub,300,60
2078,PearlwoodBathtub,PearlwoodBathtub,300,60
2079,LihzahrdBathtub,LihzahrdBathtub,300,60
2080,SkywareBathtub,SkywareBathtub,300,60
2081,SpookyBathtub,SpookyBathtub,300,60
2082,CactusLamp,CactusLamp,500,100
2083,EbonwoodLamp,EbonwoodLamp,500,100
2084,FleshLamp,FleshLamp,500,100
2085,GlassLamp,GlassLamp,500,100
2086,FrozenLamp,FrozenLamp,500,100
2087,RichMahoganyLamp,RichMahoganyLamp,500,100
2088,PearlwoodLamp,PearlwoodLamp,500,100
2089,LihzahrdLamp,LihzahrdLamp,500,100
2090,SkywareLamp,SkywareLamp,500,100
2091,SpookyLamp,SpookyLamp,500,100
2092,CactusCandelabra,CactusCandelabra,1500,300
